Tournament,Country,City,Coordinates,Date,Series,Court,Surface,Round,Best_of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Score
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,Gasquet R.,23,50,2320,1428,4-6 6-2 6-2
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Darcis S.,Dent T.,Dent T.,59,865,1362,28,6-7 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,Benneteau J.,40,49,1608,1480,3-6 6-3 7-5
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Querrey S.,Soderling R.,Soderling R.,36,17,1740,2650,3-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,Nieminen J.,41,96,1600,950,5-7 6-1 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Kunitsyn I.,Stepanek R.,Stepanek R.,45,26,1562,2260,2-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,Melzer J.,32,22,1878,2330,6-4 4-6 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Tomic B.,Verdasco F.,Verdasco F.,764,15,42,2830,4-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,Berdych T.,20,248,2430,304,6-0 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Ferrero J.C.,Serra F.,Serra F.,52,60,1410,1324,3-6 6-7
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,Ancic M.,35,131,1800,716,7-6 6-7 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Djokovic N.,Gulbis E.,Gulbis E.,3,53,10590,1408,4-6 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,Mathieu P.H.,31,65,2000,1226,6-3 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Reynolds B.,Nishikori K.,Nishikori K.,68,61,1144,1280,3-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Llodra M.,Sirianni J.,Llodra M.,54,263,1400,282,5-7 7-6 6-2
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Calleri A.,Tsonga J.W.,Tsonga J.W.,62,7,1250,3950,2-6 5-7
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,2nd Round,3,Soderling R.,Benneteau J.,Soderling R.,17,40,2650,1608,6-3 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,2nd Round,3,Dent T.,Gasquet R.,Gasquet R.,865,23,28,2320,5-7 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Gulbis E.,Mathieu P.H.,31,53,2000,1408,6-3 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Melzer J.,Serra F.,Serra F.,32,60,1878,1324,4-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Nieminen J.,Tsonga J.W.,7,41,3950,1600,0-6 7-6 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Ancic M.,Verdasco F.,Verdasco F.,35,15,1800,2830,2-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Stepanek R.,Llodra M.,Stepanek R.,26,54,2260,1400,7-6 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Berdych T.,Nishikori K.,Nishikori K.,20,61,2430,1280,6-7 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Serra F.,Verdasco F.,15,60,2830,1324,4-6 6-0 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Mathieu P.H.,Mathieu P.H.,61,31,1280,2000,3-6 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Soderling R.,Stepanek R.,26,17,2260,2650,2-6 6-4 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,Gasquet R.,Gasquet R.,7,23,3950,2320,6-1 4-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-10,ATP Tour 250,Outdoor,Hard,Semifinals,3,Verdasco F.,Mathieu P.H.,Verdasco F.,15,31,2830,2000,6-2 6-1
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-10,ATP Tour 250,Outdoor,Hard,Semifinals,3,Gasquet R.,Stepanek R.,Stepanek R.,23,26,2320,2260,6-2 2-6 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-11,ATP Tour 250,Outdoor,Hard,The Final,3,Stepanek R.,Verdasco F.,Stepanek R.,26,15,2260,2830,3-6 6-3 6-4
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Gimeno-Traver D.,Greul S.,Greul S.,88,125,976,778,3-6 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Phau B.,Ventura S.,Phau B.,118,121,850,814,6-2 7-5
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Martin A.,Cilic M.,Cilic M.,99,27,940,2250,4-6 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Sela D.,Ramirez-Hidalgo R.,Sela D.,107,119,906,826,4-6 7-6 6-1
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Soeda G.,Dlouhy L.,Dlouhy L.,112,180,870,452,6-3 2-6 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Schuettler R.,Amritraj P.,Schuettler R.,33,206,1864,392,6-2 4-6 6-1
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Lee H.T.,Granollers M.,Granollers M.,115,55,864,1384,4-6 5-7
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Beck A.,Karanusic R.,Beck A.,104,89,908,974,6-1 6-0
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Bopanna R.,Istomin D.,Istomin D.,332,109,208,902,4-6 6-7
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Davydenko N.,Koellerer D.,Davydenko N.,5,28,5330,2160,6-2 6-3
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Kim K.,Devvarman S.,Devvarman S.,114,202,866,412,3-6 3-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Karlovic I.,Ram R.,Karlovic I.,25,204,2280,404,6-4 6-3
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Odesnik W.,Minar I.,Minar I.,117,97,862,950,3-6 0-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Moya C.,Udomchoke D.,Moya C.,42,152,1580,566,6-3 7-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Andujar P.,Tipsarevic J.,Tipsarevic J.,98,47,942,1500,3-6 2-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Cipolla F.,Wawrinka S.,Cipolla F.,138,16,632,2670,6-4 6-1
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Minar I.,Karlovic I.,Karlovic I.,97,25,950,2280,1-6 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Devvarman S.,Moya C.,Devvarman S.,202,42,412,1580,4-6 7-5 6-4
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Beck A.,Granollers M.,Granollers M.,104,55,908,1384,4-6 1-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Tipsarevic J.,Sela D.,Tipsarevic J.,47,107,1500,906,7-6 6-4
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Cipolla F.,Phau B.,Phau B.,138,118,632,850,1-6 2-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Schuettler R.,Greul S.,Schuettler R.,33,125,1864,778,6-4 6-2
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-08,ATP Tour 250,Outdoor,Hard,2nd Round,3,Istomin D.,Cilic M.,Cilic M.,109,27,902,2250,0-6 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Granollers M.,Dlouhy L.,Granollers M.,55,180,1384,452,7-5 2-6 6-4
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Phau B.,Schuettler R.,Schuettler R.,118,33,850,1864,2-6 5-7
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Tipsarevic J.,Cilic M.,27,47,2250,1500,6-4 0-6 6-4
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Karlovic I.,Devvarman S.,Devvarman S.,25,202,2280,412,6-7 4-6
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-10,ATP Tour 250,Outdoor,Hard,Semifinals,3,Cilic M.,Granollers M.,Cilic M.,27,55,2250,1384,6-4 6-3
Chennai Open,India,Chennai,"[80.2707, 13.0827]",2009-01-11,ATP Tour 250,Outdoor,Hard,The Final,3,Schuettler R.,Cilic M.,Cilic M.,33,27,1864,2250,4-6 6-7
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Monfils G.,Hernych J.,Monfils G.,13,79,2950,1068,6-2 6-2
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Rochus C.,Stakhovsky S.,Stakhovsky S.,75,91,1096,966,6-2 3-6 6-7
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Roddick A.,Navarro-Pastor I.,Roddick A.,8,73,3940,1108,6-1 6-3
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Troicki V.,Hanescu V.,Hanescu V.,56,48,1380,1486,4-6 2-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Seppi A.,Gremelmayr D.,Seppi A.,34,83,1820,1036,6-4 6-2
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Chardy J.,Petzschner P.,Petzschner P.,74,66,1106,1212,6-7 3-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Peya A.,Tursunov D.,Peya A.,148,24,590,2290,2-6 6-3 6-4
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Junqueira D.,Clement A.,Clement A.,77,92,1088,960,1-6 2-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Murray A.,Montanes A.,Murray A.,4,43,7050,1574,6-2 6-4
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Hernandez O.,Vliegen K.,Vliegen K.,67,85,1168,998,1-6 7-6 6-7
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Chiudinelli M.,Kohlschreiber P.,28,603,2160,74,6-4 6-3
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Andreev I.,Youzhny M.,Youzhny M.,19,39,2490,1670,6-4 3-6 4-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Nadal R.,Santoro F.,Nadal R.,1,51,13160,1418,6-0 6-1
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Starace P.,Federer R.,Federer R.,71,2,1128,10610,2-6 2-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Beck K.,Przysiezny M.,Beck K.,144,607,606,72,4-6 6-4 7-5
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Devilder N.,Monfils G.,Monfils G.,72,13,1122,2950,5-7 6-7
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Hanescu V.,Youzhny M.,Hanescu V.,48,39,1486,1670,6-2 6-4
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Petzschner P.,Murray A.,Murray A.,66,4,1212,7050,2-6 4-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Vliegen K.,Kohlschreiber P.,28,85,2160,998,6-4 6-7 6-4
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Beck K.,Nadal R.,Nadal R.,144,1,606,13160,1-6 2-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Stakhovsky S.,Peya A.,Stakhovsky S.,91,148,966,590,7-5 6-3
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Seppi A.,Federer R.,Federer R.,34,2,1820,10610,3-6 3-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Roddick A.,Clement A.,Roddick A.,8,92,3940,960,6-3 7-5
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Hanescu V.,Roddick A.,Roddick A.,48,8,1486,3940,3-6 2-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Nadal R.,Monfils G.,13,1,2950,13160,6-4 6-4
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Kohlschreiber P.,Federer R.,Federer R.,28,2,2160,10610,2-6 6-7
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Murray A.,Stakhovsky S.,Murray A.,4,91,7050,966,6-4 6-2
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-09,ATP Tour 250,Outdoor,Hard,Semifinals,3,Monfils G.,Roddick A.,Roddick A.,13,8,2950,3940,6-7 6-3 3-6
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-09,ATP Tour 250,Outdoor,Hard,Semifinals,3,Murray A.,Federer R.,Murray A.,4,2,7050,10610,6-7 6-2 6-2
Qatar Exxon Mobil Open,Qatar,Doha,"[51.531, 25.2854]",2009-01-10,ATP Tour 250,Outdoor,Hard,The Final,3,Roddick A.,Murray A.,Murray A.,8,4,3940,7050,4-6 2-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Querrey S.,King-Turner D.,Querrey S.,36,463,1740,120,6-4 7-5
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Statham J.,Ginepri R.,Ginepri R.,904,47,26,1480,2-6 3-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Troicki V.,Kunitsyn I.,Troicki V.,53,43,1380,1562,6-1 6-2
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Serra F.,Muller G.,Muller G.,58,95,1339,956,3-6 4-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Lu Y.H.,Darcis S.,Lu Y.H.,61,57,1244,1340,7-6 6-2
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Hrbaty D.,Kohlschreiber P.,Kohlschreiber P.,250,33,302,1855,1-6 2-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Isner J.,Montanes A.,Isner J.,144,42,608,1574,7-6 7-5
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Granollers M.,Gulbis E.,Gulbis E.,50,51,1444,1428,4-6 7-6 1-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Reynolds B.,Hernandez O.,Reynolds B.,68,67,1144,1168,7-6 5-7 6-2
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Calleri A.,Gicquel M.,Gicquel M.,66,52,1170,1428,6-3 4-6 4-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Monaco J.,Hanescu V.,Monaco J.,49,44,1470,1531,6-3 6-4
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-13,ATP Tour 250,Outdoor,Hard,2nd Round,3,Muller G.,Querrey S.,Querrey S.,95,36,956,1740,6-3 3-6 4-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-13,ATP Tour 250,Outdoor,Hard,2nd Round,3,Almagro N.,Lu Y.H.,Almagro N.,18,61,2540,1244,6-7 6-3 6-2
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Gulbis E.,Del Potro J.M.,Del Potro J.M.,51,9,1428,3890,6-4 4-6 1-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Isner J.,Ginepri R.,Isner J.,144,47,608,1480,6-4 6-7 7-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Monaco J.,Troicki V.,Troicki V.,49,53,1470,1380,6-3 4-6 2-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Ferrer D.,Gicquel M.,Ferrer D.,12,52,3390,1428,6-7 6-4 6-4
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Reynolds B.,Soderling R.,Soderling R.,68,17,1144,2650,3-6 6-4 2-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Ferrero J.C.,Kohlschreiber P.,33,65,1855,1170,6-4 4-6 7-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Almagro N.,Querrey S.,Querrey S.,18,36,2540,1740,3-6 2-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-14,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Troicki V.,Del Potro J.M.,9,53,3890,1380,6-3 6-2
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-15,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Isner J.,Soderling R.,Soderling R.,144,17,608,2650,4-6 4-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-15,ATP Tour 250,Outdoor,Hard,Semifinals,3,Querrey S.,Ferrer D.,Querrey S.,36,12,1740,3390,3-6 6-3 7-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-16,ATP Tour 250,Outdoor,Hard,Semifinals,3,Soderling R.,Del Potro J.M.,Del Potro J.M.,17,9,2650,3890,4-6 3-6
Heineken Open,New Zealand,Auckland,"[174.7633, -36.8485]",2009-01-17,ATP Tour 250,Outdoor,Hard,The Final,3,Del Potro J.M.,Querrey S.,Del Potro J.M.,9,36,3890,1740,6-4 6-4
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Melzer J.,Robredo T.,Robredo T.,32,22,1868,2390,3-6 4-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Llodra M.,Gremelmayr D.,Llodra M.,56,82,1350,1036,6-0 6-2
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Lopez F.,Nieminen J.,Nieminen J.,28,40,2010,1600,2-6 6-7
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Bolelli S.,Starace P.,Bolelli S.,38,71,1686,1128,7-6 6-4
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Malisse X.,Ancic M.,Ancic M.,201,35,416,1800,6-4 6-7 3-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-12,ATP Tour 250,Outdoor,Hard,1st Round,3,Andreev I.,Dancevic F.,Andreev I.,19,131,2490,698,7-6 6-3
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Seppi A.,Mathieu P.H.,Mathieu P.H.,34,29,1820,2000,2-6 6-2 3-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Tipsarevic J.,Fish M.,Tipsarevic J.,46,24,1500,2330,6-4 3-6 6-4
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Benneteau J.,Hewitt L.,Hewitt L.,48,74,1478,1100,7-5 2-6 4-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Guccione C.,Berdych T.,Guccione C.,132,21,686,2400,6-3 6-4
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-13,ATP Tour 250,Outdoor,Hard,1st Round,3,Tursunov D.,Gasquet R.,Gasquet R.,30,25,1952,2330,6-7 4-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Bolelli S.,Tsonga J.W.,6,38,3995,1686,6-4 6-1
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Llodra M.,Nalbandian D.,Nalbandian D.,56,11,1350,3450,1-6 3-6
Medibank International,Australia,Sydney,"[151.2093, -33.8688]",2009-01-14,ATP Tour 250,Outdoor,Hard,2nd Round,3,Ancic M.,Robredo T.,Ancic M.,35,22,1800,2390,6-2 6-1
